UserName,Handle,Timestamp,Text
The Recount,@therecount,2021-03-02T20:26:36.000Z,"Replying to 
@GregAbbott_TXHere is Gov. Abbott ending the statewide mask mandate and opening all Texas businesses:"
Laura,@leleana,2021-03-02T20:33:49.000Z,"Replying to 
@GregAbbott_TXHi, Texan here. I'd love to know WHY you did this with science to prove the logic behind your decision making. Because I truly believe this is irresponsible for our public health."
Art Martin,@gartmartin9,2021-03-02T21:10:08.000Z,"Replying to 
@GregAbbott_TXThis tweet needs to be archived to be used at your trial for Covid crimes against humanity.
as of today...March 2
2.6 million cases.  44, 107 deaths in Texas.
----
by april 2 that number will have spiked significantly"
"Ashley Bartholomew, BSN, RN",@TheBlondeRN,2021-03-02T21:29:51.000Z,"Replying to 
@GregAbbott_TXAs an RN and one of your constituents, this is a terrible move. 

I’m so disappointed and frustrated you won’t back the basic CDC recommendations that are killing Texans and Americans. Masks save lives. Period. 

Shameful."
Anastasios Vrakas,@Anastasios_Vr1,2021-03-02T21:46:53.000Z,"Replying to 
@GregAbbott_TX-->93,5% of Texans haven't gotten their vaccine yet.. 
-->42K deaths so far..
Ironic comment alert:
Great job Governor!! Now let's pick a song that matches the occasion!
I suggest ""Highway to hell"" by AC/DC 
#COVIDIDIOTS"
GOAT DONČIĆ,@LukaGOAT2,2021-03-02T21:48:58.000Z,"Replying to 
@GregAbbott_TX
 and 
@IcyGallupFunny how everyone outside of Texas is against this but the actual Texans are happy...if you aren’t from here than I don’t wanna hear it"
Leslie,@beachboo7,2021-03-02T22:24:11.000Z,"Replying to 
@GregAbbott_TXDon't take medical advice from a guy who thinks frozen gas and coal is caused by windmills."
"BeaglesResist, House of Pfizer",@BeaglesResist,2021-03-03T01:12:45.000Z,"Replying to 
@GregAbbott_TXBetween $15K electric bills, a failed power grid, politicians who take off on vacation while the people suffer, and your irresponsible handling of the century's worst public health crisis, there won't be anything to ""open"" in another few years."
Ty Ross,@cooltxchick,2021-03-03T02:59:14.000Z,"Replying to 
@GregAbbott_TXTick tock Governor #BetoForGovernor"
Wigging It Etc,@Wiggingitetc,2021-03-03T03:40:28.000Z,"Replying to 
@GregAbbott_TXMURDERER! EVERY DEATH that follows this decision is yours it would be premeditated murder because you knew what doing this would do!

You know people of color are going to be more affected, yet you're risking the lives of TEXANS to sabotage BIDEN for "
Jeremy Ragonese,@JeremyRagonese,2021-03-03T07:55:48.000Z,"Replying to 
@GregAbbott_TXTexas: it’s like a whole other third world country.
- failed power grid
- failed basic water services
- failed state leadership
- 44,000+ dead from COVID (basically Galvaston‘s population)
- Even Ted Cruz wants to get the hell out

Good luck, Gov. You going to need it."
Dixie Mcguffin,@DixieMcguffin,2021-03-04T03:07:06.000Z,"Replying to 
@GregAbbott_TXThank you for common sense for a ""virus"" that has supposedly killed less than 1% of the population, if that many. It's not about the virus ppl. It's about the Swamp having control over us peons. #FreedomMatters"
SirChano,@SirChano78,2021-03-04T13:27:04.000Z,"Replying to 
@GregAbbott_TXGood job. The government has caused the economy to tank, not covid. The only pandemic there is, is the pandemic of paranoia."
Linda Price,@lkprice146,2021-03-04T14:54:11.000Z,"Replying to 
@GregAbbott_TXSmart move, people are smart enough to run their own lives. Im proud of your decision, as are thousands of others. We cant continue to live like this. Our children are the ones suffering."
Kirk Reynolds,@WKirkReynolds,2021-03-04T17:42:52.000Z,"Replying to 
@GregAbbott_TXThe vaccines are now headed to other states who have controlled the virus. Texas just needs morgues now 'cause you don't want to litter the Lone Star State with dead bodies. That would be ugly."
Johnny Two-tone Blue,@TheMovieGuy1970,2021-03-04T19:04:57.000Z,"Replying to 
@GregAbbott_TXHow does it feel to know that your state and your actions catapulted this country further into a COVID crisis, that hundreds maybe even thousands will die because of your decision. "
Rudy Aguilar,@raguilar1946,2021-03-05T00:45:38.000Z,"Replying to 
@GregAbbott_TXI hope you pay big time if any new variances don't stay in Texas and spread to other states that are following good protocol regarding Covid19. Neanderthal thinking!"
Kalman Laslo,@LasloKalman,2021-03-05T03:42:57.000Z,"Replying to 
@GregAbbott_TX
 and 
@epra72R.I.P everyone about it to die in Texas"
Raymond Weaver,@Raymond21334222,2021-03-05T14:36:58.000Z,"Replying to 
@GregAbbott_TXLove seeing all the melt down tweets from the kool aid drinkers. I haven’t wore a mask since this started and I haven’t contracted covid. And before anyone says anything, I have worked the entire time out in the public. And scientists have said masks don’t work."
Cherry,@CherryBSBerry,2021-03-09T17:41:29.000Z,"Replying to 
@GregAbbott_TXShould have never forced it on free citizens to begin with. You killed small businesses and financially hurt families because of the China Virus. From the get go it should have been the individuals' choice if they wanted to wear a mask or not. Forced gov't control, bad leadership"
Kat,@VTweddingPhoto,2021-03-18T14:34:27.000Z,"Replying to 
@GregAbbott_TXEverything is bigger in Texas, including the stupid."
TheBrownIsland,@TheBrownIsland1,2021-03-20T15:38:43.000Z,"Replying to 
@GregAbbott_TX
 and 
@bram6597Responsible people are still going to be Wearing Masks  regardless, still socially distancing while out and getting Vaccines. So whatever.

Only the ones who contribute to the Spread & Deaths by Not following Guidelines will be walking around in Crowds & Public places Maskless."
lol,@Chayton44367939,2021-03-26T18:05:28.000Z,"Replying to 
@GregAbbott_TXyour entire infrastructure collapsed because of some cold weather what do you think a worldwide pandemic is gonna do to it"
karl :),@KarlJacobs_,2021-03-02T23:47:05.000Z,"Replying to 
@GregAbbott_TXDumb ass "
Lauren Boebert,@laurenboebert,2021-03-02T20:25:47.000Z,"Replying to 
@GregAbbott_TXGod Bless Texas!"
Nicole Maines,@NicoleAMaines,2021-03-02T20:26:39.000Z,"Replying to 
@GregAbbott_TXYou are knowingly putting people’s lives in danger."
Daisy,@DaisySoul7,2021-03-02T20:30:12.000Z,"Replying to 
@GregAbbott_TX""Please don't be mad that I abandoned you during the freeze. Here this should make you forget all that. See, see I'm good."""
Senator Bribeluncheon,@FuzzyMarth,2021-03-02T20:52:14.000Z,"Replying to 
@GregAbbott_TX“unfortunately after the storm some Texans were left alive. i have taken swift action to correct that”"
Jonathan Jewel,@jonathanjewel,2021-03-02T20:53:46.000Z,"Replying to 
@GregAbbott_TXCongrats to the Texas funeral industry- you’re going to be REAL busy 

RIP Texas"
Khashoggi’s Ghost,@UROCKlive1,2021-03-02T20:58:17.000Z,"Replying to 
@GregAbbott_TXCongratulations! You're an idiot and more constituents will die.

Yet you seem proud of yourself for doing the dumbest possible thing.

Why not deregulate some more and kill some others that way, too?

Sure am glad I don't live in Texas. Hope they're smart enough to vote you out."
Catsen,@catsen,2021-03-02T21:21:35.000Z,"Replying to 
@GregAbbott_TX"
Commander Cody 0,@ComCodyCC2224,2021-03-02T21:24:47.000Z,"Replying to 
@GregAbbott_TXThis man is knowingly putting millions at risk again, my wife works as hairstylist where she is up close to people also ppl who complain about masks. Not that these have been taken, she's going to exposed to God knows how many infected. Anything happens to her 1/2"
#ThePersistence,@ScottPresler,2021-03-02T21:28:36.000Z,"Replying to 
@GregAbbott_TXThank you, Governor 
@GregAbbott_TX
, for lifting the mask mandate.

To American business owners, moms, & dads, 

please know that Republicans are working to open the economy & our schools. 

We are fighting for freedom."
albert,@AlbertsStuff,2021-03-02T21:49:12.000Z,"Replying to 
@GregAbbott_TXarent u old as hell shouldnt u be worried about covid"
Blaine Gibson,@BGibbles,2021-03-02T22:04:58.000Z,"Replying to 
@GregAbbott_TXYou’re a worthless leader. Absolute dog shit. Lifting the mask mandate will result in so many unnecessary deaths you dumb mother fucker."
Jessica,@RancidGinger,2021-03-02T22:29:11.000Z,"Replying to 
@GregAbbott_TXMy 14 year old disabled son, who is missing half a lung, and could die if he catches Covid will get to spend another year in self isolation because of you. 

Arrogance meets idiocy in the body of a man who looks like Don Knotts and Andy Griffith had a smarmy butt baby."
KreekCraft,@KreekCraft,2021-03-02T22:37:27.000Z,"Replying to 
@GregAbbott_TX"
Patricia Arquette,@PattyArquette,2021-03-03T01:49:10.000Z,"Replying to 
@GregAbbott_TXBecause one catastrophe on your hands this year is just not enough for you?"
"Salim R. Rezaie, MD",@srrezaie,2021-03-03T03:48:18.000Z,"Replying to 
@GregAbbott_TXAs a frontline ER doc in San Antonio...
@GregAbbott_TX
 removing mask mandate sends wrong message to public...the pandemic is not over and this is a BIG mistake...

For everyone else...PSA: DO NOT look to political leaders with no medical background for your medical advice"
Soozcat,@cosmicfunpalace,2021-03-03T04:25:22.000Z,"Replying to 
@GregAbbott_TXI am so, SO glad you're not my governor."
boogie2988,@Boogie2988,2021-03-03T06:04:33.000Z,"Replying to 
@GregAbbott_TXIts wild seeing a mass murderer tweeting about how excited he is to be killing people."
Patricia Arquette,@PattyArquette,2021-03-03T08:28:08.000Z,"Replying to 
@GregAbbott_TXJust when COVID numbers were going down... give it more hosts!"
Aren Jackson,@InkedAjax,2021-03-03T11:30:58.000Z,"Replying to 
@GregAbbott_TXI apologize in advance for my ignorance of US politics (I'm Canadian), but during a nationwide/worldwide pandemic, doesn't the president retain the rights to implement mask and lockdown procedures or do the state governors have total control of their respective states?"
Peter Merlin Cane,@PeterMerlinCane,2021-03-03T15:12:08.000Z,"Replying to 
@GregAbbott_TXI have reported this tweet for encouraging others to self-harm or suicide. It is not a matter of politics, it is not a matter of opinion. Medical authorities are VERY clear that discarding masks and a full return to work will kill people. I suggest you report him also."
Patricia Arquette,@PattyArquette,2021-03-03T21:04:17.000Z,"Replying to 
@GregAbbott_TXYou know you could have opened and still had a mask mandate to keep everyone safer right?"
Hugh G Merriman MD,@merriman_md,2021-03-04T00:36:39.000Z,"Replying to 
@GregAbbott_TXThere are presently over 6,000 people hospitalized in Texas with Covid. 

Less than 7% of Texans have been vaccinated. 

The Texas hospital system was overwhelmed as recently as December.

Look for the NEW surge of Covid hospital admissions to spike around March 15th."
Chris Brewer,@bearlybrew,2021-03-05T00:34:28.000Z,"Replying to 
@GregAbbott_TXAs a nurse I can’t begin to tell you much this disappoints me.
I get opening up but why drop the mask mandate.
Open for a month then if numbers stay low drop the mandate.
Will not be voting for you."
Jim Docherty,@jdoc1962,2021-03-07T13:11:03.000Z,"Replying to 
@GregAbbott_TXAbbott you are doing this to distract people from your failure during the latest freeze.  It won’t work."
steve,@spra10,2021-03-09T02:15:29.000Z,"Replying to 
@GregAbbott_TXProud American and we are proud of your leadership!! 
Happy to be in Texas ( recently moved from Norcal"
Bishop Talbert Swan,@TalbertSwan,2021-03-14T05:34:59.000Z,"Replying to 
@GregAbbott_TXMurderer."
Hit Songs 4 Singers,@SongsForSingers,2021-03-18T00:26:11.000Z,"Replying to 
@GregAbbott_TX
 and 
@ChanelRionThe people who 'forced' their will onto others against the other's will with a mask mandate in the first place are dis-connected (cut-off) from Conscience (Source, God). 
They owe WE THE PEOPLE a sincere apology."
cyn,@cynastmann,2021-03-20T04:14:16.000Z,"Replying to 
@GregAbbott_TXhuh. well, i just announced that we’re replacing all of the wheelchair ramps in the governor’s mansion with open pits to hell. good luck! "
Dr. Lee in Iowa #TeamPelosi,@Lee_in_Iowa,2021-03-03T01:58:51.000Z,"Replying to 
@GregAbbott_TXIdiot, murderer, and political hack, all encased in one sack of skin. 

Shameful decision. We won't be distracted from your debacle of the Texas Deep Freeze."
Linda Childers,@lindarchilders,2021-03-03T05:39:00.000Z,"Replying to 
@GregAbbott_TXShould we call you Grim or do you prefer Governor Reaper?"
~rando,@RandyEdgarWall,2021-03-03T17:37:37.000Z,"Replying to 
@GregAbbott_TX"
Nance,@NancyHStewart1,2021-03-15T11:59:54.000Z,"Replying to 
@GregAbbott_TXMorticians will be in high demand. I suppose you've invested?"
Ronald Walters,@RonaldW00767802,2021-03-23T00:39:34.000Z,"Replying to 
@GregAbbott_TX
 and 
@light_is_love__So sad"
Lami,@DwightPoweII,2021-03-02T20:25:33.000Z,"Replying to 
@GregAbbott_TX"
Foxfur,@SirFoxFur,2021-06-05T21:28:16.000Z,"Replying to 
@GregAbbott_TXDon’t forget to hide the Covid numbers like Florida did!"
Foxfur,@SirFoxFur,2021-06-05T21:29:18.000Z,"Replying to 
@GregAbbott_TXAlso, anyone can have a gun!"
Verna Simpson,@vraye56,2021-03-02T20:32:12.000Z,"Replying to 
@GregAbbott_TXSo not enough Texans died during the snowstorm??? Apparently Abbott thinks No One in Texas has a health risk and needs to take precautions against any type of sickness???? I realize people need their jobs but I believe you are not helping. How many more US citizens need to die??"
WernerKlopek,@DrWernerKlopek,2021-03-02T23:02:28.000Z,"Replying to 
@GregAbbott_TXYou couldn't wait a couple more months while we get shots in arms? We're the least vaccinated state in the country, and therefore the last ones who should even think of opening 100% and discouraging masks. Shame on you."
"Twice-Impeached, One-Term Trumpy (parody)",@outofcontroljb,2021-03-03T01:17:20.000Z,"Replying to 
@GregAbbott_TXMany people are saying that Greg Abbott should be launched into space."
mikaH naY yullF-dexxaV,@YanHakim1974,2021-03-03T03:51:38.000Z,"Replying to 
@GregAbbott_TXLadies & Gentlemen it’s been official Texas peoples who thought that being frozen to death wasn’t enough let’s add numerous variants of Covid-19 in the mix. Because nothing says I care like more Texan death. Hey by the way Christian Pavon & numerous Texas death are on your hands"
Jose M Ramos,@JRS53105467,2021-03-03T17:06:38.000Z,"Replying to 
@GregAbbott_TXIt is really amazing how a free country like America has its citizens fighting over a manipulation like this, they are breaking you by making you fear, read 1984 by George Orwell, go look what they did and do in China, Cuba, Russia and Korea, America it's tilting left too much"
UnSideEffect,@side_un,2021-03-04T19:56:08.000Z,"Replying to 
@GregAbbott_TXDo me a favor and keep your people out of LA if you're going to go through with this silliness. Recent events have made it abundantly clear that Texas doesn't care about its citizens. Don't put neighboring states in danger too."
Gary Lerude,@garylerude,2021-03-05T01:14:02.000Z,"Replying to 
@GregAbbott_TXHard to fathom how someone elected to lead the people of Texas and serve their best interests could act with such ignorance."
Ty Del Rose,@tydelrosedrums,2021-03-06T20:16:35.000Z,"Replying to 
@GregAbbott_TXA year's worth of objective data supports your decision. Screw the naysayers. You made the right call! If people don't like it, they're welcome to move to California if they love living in shackles so much. Cases and deaths continue to decline WITHOUT masks bc they DON'T work!!"
Adam Kresge,@Adam_4_Trump,2021-03-12T03:39:26.000Z,"Replying to 
@GregAbbott_TXYou shouldn’t have in forced one in the first place ! I’m glad you finally grew a pair of !"
Tiago,@Tiago22507112,2021-03-23T01:53:03.000Z,"Replying to 
@GregAbbott_TXCongratulatios, you're a brave man, God bless you."
CircleofLife,@soakupthesun121,2021-03-02T20:25:39.000Z,"Replying to 
@GregAbbott_TXTX is LAST in per capita vaccinations. 93.5% of the state  has not yet been fully vaccinated."
Peter Merlin Cane,@PeterMerlinCane,2021-03-02T21:40:34.000Z,"Replying to 
@GregAbbott_TXWhat a stupid, ignorant troll you are, Abbott. How many have died because of you? How many more will die now needlessly?"
YesWeCan,@bronxgalval,2021-03-02T21:57:11.000Z,"Replying to 
@GregAbbott_TXWHAT ARE YOU DOING?!?!?!?!? WE ARE ALMOST THERE ~ YOU NEED TO WAIT UNTIL END OF MAY!!!!! YOU ARE ONLY DOING THIS SO YOU CAN MAKE $$ ON SPRING BREAKERS!!! BUT THOSE KIDS WILL SPREAD IT ALL OVER THE DAMN COUNTRY"
Ashly Perez,@itsashlyperez,2021-03-02T22:04:37.000Z,"Replying to 
@GregAbbott_TXThis will kill people. Leaders like you are responsible for the deaths of over 500,000 Americans. Americans like my father. 

I hope you actually read this tweet and understand the depth of needless suffering you are causing."
Zac Toth,@TothZac,2021-03-02T22:13:48.000Z,"Replying to 
@GregAbbott_TXThank you!! Wish they would here in Indiana.... MASKS DONT DO ANYTHING"
thee anthony fantano,@theneedledrop,2021-03-02T23:12:57.000Z,"Replying to 
@GregAbbott_TXAren’t there still thousands of people without power or water in your state? Where are your priorities?"
Katie S. Phang,@KatiePhang,2021-03-03T01:29:59.000Z,"Replying to 
@GregAbbott_TXTexas is taking the death penalty to a whole new level."
TeaPotUSA,@TeaPotUSA,2021-03-03T01:53:48.000Z,"Replying to 
@GregAbbott_TXTexas COVID stats:

- 2,660,000 cases
- 44,108 deaths
#COVIDIOT #COVID19"
Barbara Moon,@moonb2,2021-03-03T03:17:26.000Z,"Replying to 
@GregAbbott_TXThank you 
@HEB
 for working to keep #Texans safe & following 
@CDCgov
 guidelines"
MURRAY,@murray_nyc,2021-03-03T03:37:22.000Z,"Replying to 
@GregAbbott_TXInsane. This is the kind of moronic attitude and arrogance that killed 500,000 Americans in <12 months. Of course MAGA folks will be ""proud"" of this madness."
Texas Hopeful,@dee_powers,2021-03-03T04:19:44.000Z,"Replying to 
@GregAbbott_TXThink on this.... My father quarantined all year, fell Dec 18, went to Prestonwood Rehab center in Plano TX.  A young healthcare worker/nurse there who was in contact with a  freedom loving Texas ""patriot"" infected him.. He died Jan 26, his roommate died Jan 23"
Danar63,@danar63,2021-03-03T11:36:43.000Z,"Replying to 
@GregAbbott_TXIn my opinion I think this is premature. Last time you started opening up businesses the cases went up, now you lifted the mask mandate. This is a recipe for disaster and very deadly for Texas. I will keep wearing my mask and practice social distancing. Praying for Texas"
Velvet Revulva,@velvetrevulva88,2021-03-03T18:00:34.000Z,"Replying to 
@GregAbbott_TXI read this tweet in the voice of Emperor Palpatine telling Luke the Rebellion is crushed and all his friends are going to die."
Army of Creation,@ArmyOfCreation,2021-03-05T18:38:05.000Z,"Replying to 
@GregAbbott_TXHeroes challenge conformity. This is a glimmer of sanity in our insane situation. Might be moving to Texas soon."
Krista Allen,@krista515all,2021-03-06T13:54:53.000Z,"Replying to 
@GregAbbott_TXMy right to swing my arms ends where your nose begins. This also applies to potential COVID spread in exhaled water droplets. #WearAMask"
Belinda Turner,@Belinda9066,2021-03-07T04:33:35.000Z,"Replying to 
@GregAbbott_TXTexans can now choose for themselves what to do, but businesses needed to open so that people could eat, pay bills, buy clothing, etc. !  We believe in God and trust in His guidance and care of our souls!"
Lloyd Apter,@LloydApter,2021-03-10T07:10:39.000Z,"Replying to 
@GregAbbott_TXWell done and thank you"
Kaoskrew,@kaoskrew_uk,2021-03-11T23:47:26.000Z,"Replying to 
@GregAbbott_TXGood luck with that then..."
When I said,@nowisaythis,2021-03-03T09:09:53.000Z,"Replying to 
@GregAbbott_TXParking this here...I'll check back in two weeks.
Hope this goes better than I expect."
INVESTIGATE LINDSEY,@IGotARock2,2021-03-03T00:41:27.000Z,"Replying to 
@GregAbbott_TX"
MightyMary007,@Mary007Mighty,2021-03-02T20:29:54.000Z,"Replying to 
@GregAbbott_TX""I just announced that I'm killing more Texans.

AS MANY AS I CAN.

I also ended the statewide mask mandate that was saving lives while we wait for vaccine doses.""

Fixed it for you."
Christine Niles,@ChristineNiles1,2021-03-02T20:38:32.000Z,99% survival rate. Vaccines. Effective treatments. Gov. Abbott did the right thing - and every other state should follow.
"Dave Perrino - Get vaccinated, it's patriotic",@DavePerrino,2021-03-02T22:11:22.000Z,"Replying to 
@GregAbbott_TXWith 2/3rds the population and double the infection rate of California, I'm wondering why you're proud of killing more Texans in the coming weeks."
星欧⁷,@xingou,2021-03-02T23:35:41.000Z,Honestly? POC are disproportionately affected by covid so GOP state leaders thinks that letting them be killed will help their election results. It's barbaric.
RAYMOND,@RAYMOND41929304,2021-03-08T17:39:47.000Z,"Replying to 
@GregAbbott_TX
 and 
@pambeertomGreat job! If only the ""blue states"" would open up!"
Me,@pambeertom,2021-03-08T17:40:47.000Z,The UK too
MamaBear,@MamaBear4All,2021-03-11T03:38:51.000Z,"Replying to 
@GregAbbott_TX
 and 
@cmerfyI used to miss living in Texas. You couldn't paye to go back to that shit show."
cmerfy #ForThePeopleAct #StopAAPIHate #PassFTPA,@cmerfy,2021-03-11T23:54:21.000Z,"Understood, MamaBear. "
Gil,@gayboiigil,2021-03-02T20:30:04.000Z,"Commenting so I remeber to hit you up in a month. I’ve seen how bad the clubs get I. Houston, cases will rise again"
kc,@Kc111499,2021-03-02T20:27:04.000Z,"Replying to 
@GregAbbott_TXFlorida mortality rate (least restricted state): .14%
California mortality rate (most restricted state): .13%"
Hay Place,@HayPlace,2021-03-02T21:19:24.000Z,Why would restrictions affect the mortality rate? The disease is going to kill at the same rate.  This proves nothing.
lex,@dyslexia69420,2021-03-02T21:17:21.000Z,
Yvangelista,@AdamantxYves,2021-03-02T20:48:32.000Z,"Replying to 
@GregAbbott_TXThat way people can get infected and even die, but you get to blame them for not being responsible enough to survive. AND you get to force them to work, no matter what the conditions are, AND you can take away their unemployment!

BRILLIANT!"
Wallace M Landers,@ghboysdad,2021-03-02T22:46:08.000Z,It’s what evil does ... Taking Corp money and genuflecting to rich corporate donors.   GOP are irredeemable.
Kyle Becker,@kylenabecker,2021-03-02T20:49:33.000Z,"Replying to 
@GregAbbott_TXPlease make sure triggered libs don't try to reintroduce backdoor lockdowns and mask mandates. Protect *all* Texas citizens from their tyranny."
Jenny G,@TheJennyGrace,2021-03-03T05:02:10.000Z,What is patriotism if not being willing to inconvenience yourself minimally in order to literally save the lives of your fellow citizen?  Your moral compass is broken.
Lauren Southern,@Lauren_Southern,2021-03-02T21:05:06.000Z,"Replying to 
@GregAbbott_TX"
"I, Captain, the talker of shit.",@CaptShtTlkr,2021-03-02T21:07:22.000Z,Every school child that dies from this virus is solely on his head now.
Julia Sun,@juliasun_onair,2021-03-02T21:13:59.000Z,"Replying to 
@GregAbbott_TXSpring break begins early."
